City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
322,Lakatoro,VU,-16.1,167.42,81.05,81,100,8.12,moderate rain
323,Lompoc,US,34.64,-120.46,48.2,81,90,3.36,overcast clouds
324,Bonavista,CA,48.65,-53.11,39.2,100,99,6.93,overcast clouds
325,Ucluelet,CA,48.93,-125.55,46.99,87,100,4.0,overcast clouds
326,Cabo San Lucas,MX,22.89,-109.91,57.0,85,0,3.98,clear sky
327,Kashan,IR,33.98,51.44,44.58,44,0,3.42,clear sky
328,Coquimbo,CL,-29.95,-71.34,59.0,87,100,2.24,overcast clouds
329,Batagay-Alyta,RU,67.8,130.41,-14.22,85,100,3.09,overcast clouds
330,Kathu,TH,7.92,98.33,86.0,78,40,11.41,scattered clouds
331,Ilhabela,BR,-23.78,-45.36,69.69,82,29,4.45,scattered clouds
332,Adrar,MR,20.5,-10.07,72.5,22,67,5.97,broken clouds
333,Zeya,RU,53.75,127.27,-17.32,79,15,4.12,few clouds
334,Januaria,BR,-15.48,-44.37,65.46,77,42,4.36,scattered clouds
335,Vao,NC,-22.67,167.48,77.77,74,95,10.36,overcast clouds
336,Khuldabad,IN,20.05,75.18,82.4,42,0,5.86,haze
337,Homer,US,59.64,-151.55,35.01,80,1,5.82,clear sky
338,Aleksandrov Gay,RU,50.15,48.57,19.33,92,100,15.9,overcast clouds
339,Bredasdorp,ZA,-34.53,20.04,77.0,47,0,3.36,clear sky
340,Coihaique,CL,-45.58,-72.07,51.8,93,0,2.24,clear sky
341,Tura,IN,25.52,90.22,71.69,49,0,5.55,clear sky
342,Poum,NC,-20.23,164.02,81.09,76,17,8.39,light rain
343,Hasaki,JP,35.73,140.83,44.6,52,40,3.36,scattered clouds
344,Rio Grande,BR,-32.03,-52.1,71.01,83,98,3.0,overcast clouds
345,Necochea,AR,-38.55,-58.74,63.0,91,0,9.57,clear sky
346,Kavaratti,IN,10.57,72.64,82.78,72,10,6.33,clear sky
347,Ewa Beach,US,21.32,-158.01,72.0,88,90,6.93,light rain
348,Skjervoy,NO,70.03,20.97,17.91,94,100,31.72,overcast clouds
349,Kenai,US,60.55,-151.26,24.01,78,1,3.36,clear sky
350,Foam Lake,CA,51.65,-103.53,10.4,85,96,1.12,overcast clouds
351,Ostrovnoy,RU,68.05,39.51,11.19,93,100,15.79,overcast clouds
352,Samokov,BG,42.33,23.55,42.01,57,100,1.01,overcast clouds
353,Port Macquarie,AU,-31.43,152.92,72.0,76,99,9.1,overcast clouds
354,Kasempa,ZM,-13.46,25.83,74.95,80,100,7.16,light rain
355,Alta Floresta,BR,-9.88,-56.09,70.5,99,100,3.15,heavy intensity rain
356,Morondava,MG,-20.28,44.28,88.2,62,8,10.18,clear sky
357,Makurdi,NG,7.74,8.51,87.93,19,0,9.78,clear sky
358,Fort Dodge,US,42.5,-94.17,17.6,92,1,5.37,clear sky
